estacion_sk,anio,mes,temperatura_promedio,temperatura_maxima,temperatura_minima,temperatura_desviacion,presion_promedio,presion_desviacion,viento_promedio,viento_maximo,viento_desviacion,radiacion_total,humedad_promedio,humedad_maxima,humedad_minima,humedad_desviacion
18,2019,1,20.075223336371923,27.56,15.17,2.7694836603574577,601.7935665451231,1.8815649171810058,0.8215154968094804,5.81,1.0891730543508356,1588484.0,79.22174111212398,96.0,43.0,10.721304996661129
18,2019,2,20.010175512496488,27.0,16.39,2.2833531048819626,601.5656599269868,1.3699745711377136,0.6913254703734906,6.26,1.0290490282197158,1073780.0,84.97346251053075,97.0,57.0,7.941790620199533
18,2019,3,19.630705733364035,27.0,15.17,2.2538358468671644,602.048984572876,1.7066327259391654,0.7249470412157495,8.05,1.0545789581642302,1238929.0,86.10718397421138,97.0,58.0,6.7966703531557355
18,2019,4,19.20883185416167,26.17,15.56,1.998436183097392,602.8342324298393,1.526342947858209,0.6484720556488367,8.05,0.9883447763326525,1035186.0,87.74082513792277,98.0,60.0,5.979603522401842
18,2019,5,19.06456288518603,27.56,15.39,1.9910590863503947,602.7719607395571,1.5450456447436944,0.5392513124857339,6.71,0.916198959225288,952929.0,88.83359963478658,97.0,54.0,5.962035929070817
18,2019,6,19.696617148204467,26.22,15.39,2.0959308451422882,602.5913744297579,1.4465487201028973,0.6498292197917885,5.36,0.9796177469398123,1088778.0,85.20131009474792,98.0,53.0,7.111819511063852
18,2019,7,19.764264308246958,27.28,15.28,2.397315317586755,602.4219761153673,1.4571056295459826,0.6416065795403335,5.81,0.9909213860136633,1316011.0,81.95392068499324,98.0,48.0,9.199817227579176
18,2019,8,20.63507503102787,28.06,15.11,2.480417567120252,602.1954721877468,1.5137196015606542,0.795684305539885,5.81,1.0782282972389006,1439396.0,74.94031366354507,96.0,46.0,9.47797590730648
18,2019,9,19.753051681706317,28.28,15.33,2.580974739598818,602.610021094574,1.6516274985103407,0.6764959568733153,6.71,1.0221344533525172,1249381.0,81.44204851752022,97.0,44.0,10.363520360637237
18,2019,10,18.297214672120333,24.0,14.56,1.9394473553152027,602.9733157408629,1.4709542694608029,0.5595289616044333,8.94,0.9120396732509269,993497.0,87.52737828209526,96.0,58.0,5.903386275509694
18,2020,1,20.255837942122188,27.17,1.8,2.6277630665078986,602.0108514469454,2.0312019581598406,1.0062353697749198,113.99,3.9981871938809093,1418164.124,77.73672025723472,255.0,49.0,11.5691902215818
18,2020,2,20.665313880337305,28.56,1.8,2.735130157740066,601.6420867353768,1.8894149866226648,0.8318511578101995,113.99,2.5136176455067436,1281614.422,78.08807388569134,255.0,38.0,12.12300879954494
18,2020,3,20.094567647729868,27.67,1.8,2.985879419109754,602.2302737850787,1.608362712598473,1.518709787816564,113.99,9.243872814471198,1466666.607,81.930070727812,255.0,39.0,17.795812570635558
18,2020,4,12.41869840859102,26.61,1.8,9.051998563295596,604.0172532022253,2.2834256411315126,47.274626730495534,113.99,55.862920397894435,639244.228,156.1226549359555,255.0,64.0,82.93656974973787
18,2020,6,8.283094707997945,24.89,1.8,8.462683949335986,604.197679397157,1.3246915298156805,71.51518924473369,113.99,54.89492764782933,426154.136,191.72084261003596,255.0,60.0,81.8767895242895
18,2020,7,5.952236767859159,24.5,1.8,7.753643063264671,603.7342895835684,1.8022169459295587,88.40457623293082,113.99,47.4387712471744,724920.11,216.64383252454576,255.0,64.0,71.22720770090352
18,2020,8,8.385432724814065,26.72,1.8,9.11299576705544,602.6969664187513,1.8059329678497347,74.43985801217038,113.99,54.10262668674815,1023740.675,194.8112463376155,255.0,46.0,82.60682958786317
18,2020,9,8.520596474845336,26.11,1.8,9.083689918585305,602.6345476829695,1.8372487216159519,73.37712851640013,113.99,54.40574798101744,1087001.01,193.04984241858293,255.0,57.0,83.10926038346042
18,2020,10,7.7444215755855215,25.83,1.8,8.818109933578171,602.3495486160398,1.7274344746954153,78.13113129879346,113.99,52.81845330760297,773088.105,200.41476224272535,255.0,55.0,80.55252664704547
18,2020,11,7.922885561497326,24.78,1.8,8.909082894299269,602.3281989304813,1.5032218597273779,77.13458609625668,113.99,53.18380472753071,612505.966,199.14973262032086,255.0,62.0,80.73407748970814
18,2020,12,7.75447872977831,24.61,1.8,8.861004698540807,602.0069248052727,1.3953183662733215,78.39084781306171,113.99,52.68416559763762,812902.069,201.04269023367286,255.0,62.0,79.96210229064194
18,2021,1,7.903382318084855,26.17,1.8,9.214299786126562,601.1494501066603,1.665198688332052,79.07109030575965,113.99,52.388427034830265,1124494.101,200.6532353638303,255.0,51.0,81.72251126548653
18,2021,2,6.979961240310078,26.28,1.8,8.773406834305188,601.2435480023853,1.882594400154687,84.3329755515802,113.99,49.84791333670697,718408.787,209.34048896839593,255.0,57.0,76.89747562079327
18,2021,3,5.098730786122091,24.61,1.8,6.988226064456738,602.9566154296589,1.8764815737032983,92.93720538720538,113.99,44.14417062366633,497403.484,223.52056799882888,255.0,61.0,66.12582936311584
18,2021,4,6.548295920039325,25.17,1.8,8.2190340746675,602.7974045551368,1.9674360147159289,85.17745207275111,113.99,49.451315988015295,548325.726,211.8648205800426,255.0,58.0,74.18205951760675
18,2021,5,7.580817520331003,25.83,1.8,8.735798565206386,603.4226508774433,1.9737138949704736,78.99700099871593,113.99,52.453489294051266,783022.91,202.4418604651163,255.0,63.0,78.89829712794095
18,2021,6,7.298426610348469,24.61,1.8,8.452644778711948,604.0277742578904,1.9655928028493164,79.80371700105596,113.99,52.13627457489062,902975.731,203.9464977120732,255.0,62.0,77.94760484772391
18,2021,7,7.068265614116554,25.78,1.8,8.516473069077032,603.6164441606686,1.931598285354716,82.05909914093336,113.99,51.11810596193535,892264.921,206.6863245878802,255.0,55.0,77.4865661769112
18,2021,8,4.55188119927863,25.0,1.8,6.625173055405165,604.6047802073941,2.1712773199771678,97.02850879170423,113.99,40.537087701960985,584223.386,229.49695671776374,255.0,58.0,61.14230313774097
18,2021,9,6.930549773478634,26.11,1.8,8.493051896735155,603.6015929962042,2.037128987273963,82.99134688380066,113.99,50.72331611517856,859790.627,207.70993020693032,255.0,48.0,77.5691958200801
18,2021,10,7.201705393000574,24.78,1.8,8.468026002811326,602.9477553069421,2.007681382020526,80.66934308663225,113.99,51.84921499414165,707212.419,205.30206540447503,255.0,68.0,77.4223595251926
18,2021,12,18.436666666666667,18.67,18.17,0.1840289832245638,602.1766666666666,0.08430104783844924,0.0,0.0,0.0,918.0,90.0,90.0,90.0,0.0
